company_id,shareholder_id,shareholder_percent
684,881,1
473,365,100
883,376,16.2183908
218,61,100
184,510,62
292,170,18
762,362,39
471,364,100
349,788,100
12,509,50
734,384,100
823,366,100
242,101,100
497,794,35
512,143,100
151,646,81
528,755,100
615,185,51
920,391,100
165,780,40
169,552,7.020408163
725,8,51
880,233,100
783,835,100
107,477,100
64,117,74
619,698,100
295,103,100
976,476,28
562,326,100
261,659,100
536,218,100
474,96,100
508,980,100
37,268,45
703,921,100
179,1,100
124,670,100
546,773,100
659,480,49
117,84,100
551,5,93
570,605,100
266,983,100
885,945,100
192,646,39
437,890,0.493421053
872,191,17.82926829
827,112,100
79,889,94
189,244,100
1,868,100
108,683,100
418,586,100
925,660,14
804,444,100
677,33,100
322,490,100
234,367,26
599,333,100
558,211,63
229,241,100
420,334,100
840,258,100
43,749,100
835,214,66
664,48,48
597,391,90
278,883,100
645,299,100
900,951,100
298,890,100
946,652,100
417,539,71
664,691,52
588,213,100
196,359,100
318,186,100
615,40,49
369,212,100
641,403,100
346,400,100
127,61,6.134831461
31,232,94
872,982,57
772,84,86
224,979,100
457,228,100
29,714,22
237,864,100
248,585,3.529411765
49,899,100
258,561,100
558,925,37
688,696,100
618,273,74
303,469,48
807,200,100
861,262,100
439,262,100
414,39,2
404,359,100
183,448,80
779,769,100
493,898,100
337,552,49
345,760,23
419,129,100
789,708,72
201,898,78
80,401,100
395,349,100
821,470,100
151,61,14.01941748
371,804,18.77108434
438,580,9.616161616
32,495,100
983,33,100
836,759,100
883,220,66
883,696,17.7816092
333,907,100
601,80,100
684,506,99
654,169,2.25
292,77,82
715,153,100
386,927,100
889,100,100
930,135,4
841,815,100
472,235,100
500,411,100
853,172,75
75,817,100
71,276,100
732,733,100
494,639,100
52,205,100
166,163,100
209,490,100
618,189,26
551,448,7
134,589,81
561,695,100
977,237,31
846,42,100
497,480,65
563,459,88
832,324,100
387,108,100
769,666,100
956,218,100
705,373,100
685,689,100
351,832,54
169,509,4.979591837
727,134,100
231,230,100
653,525,100
590,148,9
433,831,100
543,512,100
51,105,91
96,592,2
436,269,100
974,443,100
328,158,63
136,994,100
115,662,100
784,761,100
999,624,100
455,960,100
633,263,100
614,616,100
310,777,100
608,571,94
79,599,6
357,807,100
163,721,61
962,181,100
170,604,78
566,770,100
590,754,91
129,930,100
399,50,100
576,934,100
906,165,6
442,256,100
87,669,100
837,119,100
328,914,37
440,930,100
998,592,73
673,812,23.69680851
550,862,100
489,500,100
371,588,19.22891566
918,801,100
73,237,100
236,276,100
761,298,100
955,967,100
552,275,100
573,815,100
736,594,100
480,966,25
850,137,100
492,218,100
786,322,12
853,755,15.78947368
84,752,100
725,229,49
646,935,100
101,494,100
343,339,100
150,541,100
402,642,4
3,487,100
627,975,100
595,599,100
853,794,9.210526316
668,387,100
429,294,100
810,609,100
767,213,24
10,190,100
133,9,100
33,966,100
722,695,100
490,863,100
414,925,98
287,646,33
665,768,100
119,544,100
338,900,24
578,892,100
842,771,100
368,10,100
249,356,89
625,289,100
597,856,10
621,476,100
325,780,27
114,266,100
775,112,100
423,847,100
600,684,100
366,844,100
51,209,9
214,939,58
45,869,100
762,128,61
286,534,31
816,346,53
170,78,22
127,359,87
971,853,100
520,612,100
465,1,100
351,922,46
877,773,100
454,730,100
250,458,100
994,686,3
152,114,61
929,484,100
787,619,57
23,973,100
248,511,95
868,806,2
969,927,100
417,664,21.91603053
135,861,100
294,107,50
931,286,100
36,427,100
872,272,25.17073171
495,445,100
122,50,2.434782609
787,950,26.14864865
789,715,10.35294118
917,191,100
103,81,100
632,775,100
499,804,100
922,769,100
372,813,100
637,847,58
803,813,100
173,443,100
658,827,18.93023256
808,766,100
691,105,100
978,522,100
516,284,72
940,863,100
975,959,100
673,422,55
122,837,5.565217391
463,513,100
148,653,100
338,88,76
786,901,88
221,152,100
994,528,97
747,324,100
674,469,100
801,37,100
976,661,72
183,826,20
972,633,100
151,46,4.980582524
849,592,7
309,239,55
564,971,71
285,766,100
234,895,74
247,530,100
648,25,100
201,951,22
698,146,55
939,747,100
767,110,76
523,554,100
673,747,21.30319149
417,676,7.083969466
5,640,100
